NIDS LOG INITIALIZED
==================================================
[2026-03-06 20:44:23] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.183 -> DST: 10.0.0.3 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:44:25] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.189 -> DST: 10.0.0.44 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:26] PROTOCOL: HTTP | LAYER: Application | SRC: 147.32.235.21 -> DST: 10.0.0.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:28] PROTOCOL: UDP | LAYER: Transport | SRC: 178.250.106.223 -> DST: 10.0.0.42 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:29] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.177 -> DST: 10.0.0.21 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:44:31] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.149 -> DST: 10.0.0.7 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:44:32] PROTOCOL: HTTPS | LAYER: Application | SRC: 182.219.152.36 -> DST: 10.0.0.24 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:34] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.173 -> DST: 10.0.0.22 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:44:35] PROTOCOL: TCP | LAYER: Transport | SRC: 201.159.158.221 -> DST: 10.0.0.41 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:37] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.193 -> DST: 10.0.0.2 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:44:38] PROTOCOL: HTTPS | LAYER: Application | SRC: 249.125.131.220 -> DST: 10.0.0.2 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:40] PROTOCOL: ICMP | LAYER: Network | SRC: 136.173.201.52 -> DST: 10.0.0.25 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:41] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.163 -> DST: 10.0.0.4 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:44:43] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.179 -> DST: 10.0.0.31 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:44] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.183 -> DST: 10.0.0.38 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:46] PROTOCOL: ICMP | LAYER: Network | SRC: 100.3.98.44 -> DST: 10.0.0.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:47] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.197 -> DST: 10.0.0.24 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:44:49] PROTOCOL: ICMP | LAYER: Network | SRC: 162.188.47.107 -> DST: 10.0.0.15 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:50] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.131 -> DST: 10.0.0.47 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:44:52] PROTOCOL: UDP | LAYER: Transport | SRC: 188.96.13.254 -> DST: 10.0.0.50 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:53] PROTOCOL: TCP | LAYER: Transport | SRC: 72.44.242.148 -> DST: 10.0.0.1 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:44:55] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.170 -> DST: 10.0.0.13 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:56] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.175 -> DST: 10.0.0.39 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:58] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.138 -> DST: 10.0.0.7 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:44:59] PROTOCOL: HTTP | LAYER: Application | SRC: 147.76.25.207 -> DST: 10.0.0.33 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:01] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.112 -> DST: 10.0.0.28 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:45:02] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.159 -> DST: 10.0.0.35 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:45:04] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.172 -> DST: 10.0.0.34 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:05] PROTOCOL: UDP | LAYER: Transport | SRC: 205.132.180.63 -> DST: 10.0.0.26 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:07] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.154 -> DST: 10.0.0.48 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:08] PROTOCOL: TCP | LAYER: Transport | SRC: 70.201.50.205 -> DST: 10.0.0.6 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:19] PROTOCOL: ICMP | LAYER: Network | SRC: 49.83.142.173 -> DST: 10.0.0.21 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:21] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.120 -> DST: 10.0.0.50 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:22] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.115 -> DST: 10.0.0.7 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:24] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.123 -> DST: 10.0.0.18 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:45:25] PROTOCOL: HTTPS | LAYER: Application | SRC: 127.111.244.224 -> DST: 10.0.0.48 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:27] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.172 -> DST: 10.0.0.16 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:28] PROTOCOL: ICMP | LAYER: Network | SRC: 107.126.69.87 -> DST: 10.0.0.44 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:30] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.179 -> DST: 10.0.0.13 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:31] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.168 -> DST: 10.0.0.45 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:33] PROTOCOL: HTTPS | LAYER: Application | SRC: 166.163.207.131 -> DST: 10.0.0.41 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:34] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.103 -> DST: 10.0.0.42 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:36] PROTOCOL: UDP | LAYER: Transport | SRC: 23.44.200.122 -> DST: 10.0.0.23 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:37] PROTOCOL: UDP | LAYER: Transport | SRC: 188.121.49.24 -> DST: 10.0.0.26 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:39] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.109 -> DST: 10.0.0.9 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:40] PROTOCOL: UDP | LAYER: Transport | SRC: 247.223.10.112 -> DST: 10.0.0.37 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:42] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.139 -> DST: 10.0.0.30 | ATTACK: DoS | MALICIOUS: True
