SUDO HEX LOG - ANALYSIS SESSION STARTED
Session Start: 2026-03-07 18:03:45
==================================================
[2026-03-07 18:03:45] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.35.160.99 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:03:49] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.57 -> DST: 192.168.1.1 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:03:53] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 185.156.113.34 -> DST: 192.168.1.8 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:03:57] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 45.74.243.191 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:04:01] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 45.60.75.43 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:04:05] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 45.45.184.174 -> DST: 192.168.1.5 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:04:09] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 185.189.87.183 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:04:13] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 103.140.172.97 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:04:18] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 212.193.107.199 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:04:22] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.50 -> DST: 192.168.1.1 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:04:26] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.30.56.11 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:04:30] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.138 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:04:34] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 91.33.186.40 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:04:38] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 103.222.154.18 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:04:42] PROTOCOL: TCP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 45.51.140.55 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:04:46] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.107.152.167 -> DST: 192.168.1.10 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:04:50] PROTOCOL: TCP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 185.216.228.228 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:04:54] PROTOCOL: TCP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 212.42.120.107 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:04:58] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 91.170.198.133 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
